vehicle,stops_count,stops_order,maps_url
V1,25,"27 Đường Hùng Vương, Thị Trấn Tân Minh, Hàm Tân District, Bình Thuận Province, Vietnam -> 17 Lê Quý Đôn Street, Ward 2, Bà Rịa City, Bà Rịa–Vũng Tàu Province, Vietnam -> 9 Phan Đình Phùng Street, Thị Trấn Long Điền, Long Điền District, Bà Rịa–Vũng Tàu Province, Vietnam -> 21 Trần Hưng Đạo Street, Ward 3, Sa Đéc City, Đồng Tháp Province, Vietnam -> 5 Võ Thị Sáu Street, Phước Hiệp Ward, Bà Rịa City, Bà Rịa–Vũng Tàu Province, Vietnam -> 12 Trương Định Street, Ward 8, Vũng Tàu City, Bà Rịa–Vũng Tàu Province, Vietnam -> 11 Nguyễn Văn Linh Street, An Hòa Ward, Rạch Giá City, Kiên Giang Province, Vietnam -> 2A Cách Mạng Tháng 8 Street, Ward 1, Sóc Trăng City, Sóc Trăng Province, Vietnam -> 52 Phan Văn Hớn Street, Hòa Phú Ward, Thuận An City, Bình Dương Province, Vietnam -> 6 Quốc lộ 1A, Bình Trị Đông B Ward, Bình Tân District, Ho Chi Minh City, Vietnam -> 5 Lý Thường Kiệt Street, Ward 7, Cà Mau City, Cà Mau Province, Vietnam -> 123 Quốc lộ 1A, Bình Trị Đông B Ward, Bình Tân District, Ho Chi Minh City, Vietnam -> 1 Lê Duẩn Street, Ward 1, Phan Thiết City, Bình Thuận, Vietnam -> 45 Nguyễn Trãi Street, Ward 4, Vị Thanh City, Hậu Giang Province, Vietnam -> 7 Nguyễn Văn Cừ Street, Mỹ Thới Ward, Long Xuyên City, An Giang Province, Vietnam -> 54 Nguyễn Văn Cừ Street, Ward 1, Cà Mau City, Cà Mau Province, Vietnam -> 88 Nguyễn Công Trứ Street, Ward 8, Vĩnh Long City, Vĩnh Long Province, Vietnam -> 77 Nguyễn Văn Cừ Street, Ward 1, Cà Mau City, Cà Mau Province, Vietnam -> 28 Lê Lợi Street, Ward 1, Bạc Liêu City, Bạc Liêu Province, Vietnam -> 60 Hùng Vương Street, Ward 2, Long Xuyên City, An Giang Province, Vietnam -> 10 Mai Chí Thọ Street, Thu Thiem Ward, Thu Duc City, Ho Chi Minh City, Vietnam -> 772 Điện Biên Phủ Street, Ward 22, Bình Thạnh District, Ho Chi Minh City, Vietnam -> 186 30/4 Street, Ward 3, Tay Ninh City, Tay Ninh, Vietnam -> Metro Cash & Carry Biên Hòa — Nguyễn Ái Quốc area, Quang Vinh Ward, Biên Hòa City, Đồng Nai Province, Vietnam -> No. 1, National Highway 1, Ward 2, Tan An City, Long An, Vietnam","https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708&waypoints=10.805176744570572,106.61418699054873|10.8025536145907,106.61534178616667|10.841844479419487,106.63739329650186|10.84786976455342,106.63219671622107|10.889639600703328,106.64978349156794|10.885740442580465,106.65578037473801|10.884614902931878,106.66552275067981|10.883810943435149,106.67276813088596|10.877037498424992,106.685048436705|10.86238037056852,106.67398339931346|10.856088860748844,106.67834290755205|10.818323837043087,106.67880503389469|10.84182460906173,106.70162045292557|10.9463042,106.680124|11.001337,106.6671784|11.095812840181841,106.7351984049071|11.233860380615079,106.72662618864256|11.601284857611843,106.61621164217863|11.595667190715176,106.60996983767556|11.44379681436063,106.17347383366526|11.436676159507831,106.04706494326466|11.35381565552002,106.07392126140543|11.3351554,106.1098854|10.817185474371641,106.2713274249572|10.5651354,106.420883"
V10,0,,"https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708"
V2,10,"Hung Vuong I Residential Area, Phu Thuy Ward, Phan Thiet City, Binh Thuan Province, Vietnam -> 35-37 Cach Mang Thang Tam Street, Cai Khe Ward, Can Tho City, Can Tho, Vietnam -> 66 Trưng Nữ Vương Street, Ward 3, Bến Tre City, Bến Tre Province, Vietnam -> Chợ Cái Răng, Cai Răng District, Can Tho City, Can Tho, Vietnam -> 45 Nguyễn Văn Linh Street, An Hòa Ward, Rạch Giá City, Kiên Giang Province, Vietnam -> No. 58, 30/4 Street, Ward 3, My Tho City, Tien Giang, Vietnam -> 3/1 Dong Khoi Street, Ward 3, Ben Tre City, Ben Tre, Vietnam -> Hung Vuong Street, Ward 4, Tra Vinh City, Tra Vinh, Vietnam -> 2A Lạc Long Quân Street, Ninh Kiều Ward, Ninh Kiều District, Cần Thơ City, Vietnam -> 101 Lý Thường Kiệt Street, Ward 3, Mỹ Tho City, Tiền Giang Province, Vietnam","https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708&waypoints=9.418037372033817,105.6005661954456|9.41747528429018,105.59317885406331|10.414010765404969,106.41212577974605|10.36956871136917,106.49905240248872|10.355977993596188,106.48283564545497|10.3765284,106.3438891|10.2451404,106.35533|9.936612,106.3457042|9.968998213804541,106.03635960949444|10.035193865432031,106.10986038617787"
V3,6,"Lot B, An Phú - An Khánh New Urban Area, An Phú Ward, Thu Đuc City, Ho Chi Minh City, Vietnam -> 22-24 Nguyễn Huệ Street, Ward 1, Cần Thơ City, Cần Thơ, Vietnam -> 54A Đinh Tiên Hoàng Street, Ward 8, Vĩnh Long City, Vĩnh Long Province, Vietnam -> 608 Khóm 1, Cái Vồn Town, Bình Minh Town, Vĩnh Long Province, Vietnam -> WinMart+ / Bach Hoa Xanh cluster — 1A Nguyễn Trãi Street, Ward 2, Vĩnh Long City, Vĩnh Long Province, Vietnam -> Chợ Tân An (wholesale market), Tân An Town, Tân An District, Long An Province, Vietnam","https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708&waypoints=11.520833247660347,106.90006772092273|11.536206008977883,106.95330841416676|11.668866930027399,107.40310361116963|11.68456366726326,107.39475546390835|11.497931310093557,107.380419751467|11.462247106227197,107.34444987239767"
V4,11,"15 Trần Hưng Đạo Street, Ward 3, Vĩnh Long City, Vĩnh Long Province, Vietnam -> 9A Đường 22 Tháng 12, Thuận Giao Ward, Thuận An City, Bình Dương Province, Vietnam -> An Hiệp Commune, Long Hồ District, Vĩnh Long Province, Vietnam -> AEON Mall Phu My Hung — 30A Nguyen Luong Bang Street, Tan Phu Ward, District 7, Ho Chi Minh City, Vietnam -> 19 Nguyen Tat Thanh, Phu Thuy, Phan Thiet City, Binh Thuan, Vietnam -> 151 Võ Thị Sáu Street, Thị Trấn Long Điền, Huyện Long Điền, Bà Rịa–Vũng Tàu Province, Vietnam. -> 1A Nguyễn Tất Thành Street, Phường Bình Hưng, Phan Thiết City, Bình Thuận Province, Vietnam -> Đường Tỉnh 906, Hiếu Thuận Commune, Vũng Liêm District, Vĩnh Long Province, Vietnam -> Bình Phước Commune, Mang Thít District, Vĩnh Long Province, Vietnam -> ĐT 907, Trung An Commune, Vũng Liêm District, Vĩnh Long Province, Vietnam -> 84 Đường 30/4, Ward 2, Bạc Liêu City, Bạc Liêu Province, Vietnam","https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708&waypoints=10.930113757038242,107.24123033005378|10.924871,107.2413524|10.945967849331062,107.37194619351925|10.826396405971355,107.88205447936679|10.9287267,108.1103265|11.098237830681569,107.91723384372865|11.030606493906447,107.8666848587414|10.960337794314972,107.78857892616706|10.899346420249902,107.67070246000341|10.927086185083015,107.67091648232422|10.743141234670162,106.63003946176038"
V5,15,"73 Nguyễn Trãi Street, Ward 1, Gò Công Town, Tiền Giang Province, Vietnam -> 18 Nguyễn Trãi Street, Ward 2, Tân An City, Long An Province, Vietnam -> 3 Trương Công Định Street, Phường 1, Vĩnh Long City, Vĩnh Long Province, Vietnam -> 2 Cong Xa Paris, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam -> 264 Nguyễn Huệ Street, Khu Phố 2, Thị Trấn Tân Minh, Huyện Hàm Tân, Bình Thuận Province, Vietnam -> 105 Phạm Hữu Lầu Street, Trà Vinh City, Trà Vinh Province, Vietnam -> 9 Nguyễn Đình Chiểu Street, Ward 1, Bến Tre City, Bến Tre Province, Vietnam -> 128 Trần Quang Khải Street, Tân Định Ward, Ho Chi Minh City, Vietnam -> 01 Binh Duong Boulevard, Thuận Giao Ward, Thu Dau Mot City, Binh Duong Province, Vietnam -> MM Mega Market An Phú — B1 Cantavil An Phú, An Phú Ward, Thu Duc City, Ho Chi Minh City, Vietnam -> 8 Nguyễn Huệ Street, Ward 2, Trà Vinh City, Trà Vinh Province, Vietnam -> 16 Phan Chu Trinh Street, Ward 1, Trà Vinh City, Trà Vinh Province, Vietnam -> 12 Lê Lợi Street, Ward 1, Bến Tre City, Bến Tre Province, Vietnam -> 5 Nguyễn Tất Thành Street, Phú Thủy Ward, Phan Thiết City, Bình Thuận, Vietnam -> 19 Tháng 8 Street, Ward 1, Vinh Long City, Vinh Long Province, Vietnam","https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708&waypoints=10.774407237831625,106.60399511375479|10.7683131296682,106.61993499921992|10.76951849138909,106.63566909039788|10.7800898,106.6995646|10.760051713402298,106.9266247444845|10.70441206569353,106.9427495710599|10.3493245,107.0759918|10.502570051482715,107.51013135784346|10.553094507466545,107.4633527114996|10.595616795466086,107.19589129513493|10.92813147435151,106.87735190240946|10.9320161,106.8654049|10.807820408243742,106.86913289382157|10.511685706937962,106.60191422617284|10.47486093819702,106.60003043145726"
V6,0,,"https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708"
V7,12,"Nguyen Ai Quoc Street, Quang Vinh Ward, Bien Hoa City, Dong Nai Province, Vietnam -> Binh Phu Ward, District 6, Ho Chi Minh City, Ho Chi Minh City, Vietnam -> Tan An Wholesale Market (Chợ Tân An), Cai Rang District, Can Tho City, Can Tho, Vietnam -> An Khanh New Urban Area, An Phu Ward, Thu Duc City, Ho Chi Minh City, Vietnam -> 10 Mai Chi Tho Street, Thu Thiem, Thu Duc City, Ho Chi Minh City, Vietnam (Emart / Sala area store) -> Cai Rang Floating Market / Cai Rang (Chợ nổi Cái Răng), Cai Rang District, Can Tho City, Can Tho, Vietnam -> Vinh Long Market (Chợ Vĩnh Long), 19 Thang 8 Street, Ward 1, Vinh Long City, Vinh Long Province, Vietnam -> Cantavil Complex (B1 Cantavil An Phu), An Phu Ward, Thu Duc City, Ho Chi Minh City, Vietnam -> 128 Tran Quang Khai Street, Tan Dinh Ward, Ho Chi Minh City, Vietnam -> 772 Dien Bien Phu Street, Ward 22, Binh Thanh District, Ho Chi Minh City, Vietnam -> 366 Phan Van Tri Street, Ward 5, Go Vap District, Ho Chi Minh City, Vietnam -> No.01 Binh Duong Boulevard, Thuan Giao Ward, Thu Dau Mot City, Binh Duong Province, Vietnam","https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708&waypoints=9.402699564889831,105.48577491215896|9.388217284138706,105.46610543102882|8.758145889281952,104.98812164444232|8.609909369694835,104.90373878488529|8.59106672491821,104.83826110291905|8.76164908277841,104.997805833565|8.941003414548625,105.01527170244819|8.971049441216051,105.01406211914232|9.374541692375605,104.99408597646179|9.393348751263346,104.97641522453826|9.726043218624302,104.98088408672194|9.737800812160588,104.98777490242773"
V8,0,,"https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708"
V9,17,"1231 Quốc lộ 1A, Bình Trị Đông B Ward, Bình Tân District, Ho Chi Minh City, Vietnam -> Khu dân cư Hùng Vương I, Phú Thủy Ward, Phan Thiết City, Bình Thuận Province, Vietnam -> 26 Ba Tháng Hai Street, Ward 1, Vĩnh Long City, Vĩnh Long Province, Vietnam -> 18 Trần Phú Street, Ward 5, Mỹ Tho City, Tiền Giang Province, Vietnam -> 2A Nguyễn Đình Chiểu Street, Phước Hiệp Ward, Bà Rịa City, Bà Rịa–Vũng Tàu Province, Vietnam -> 9 Nguyễn Huệ Street, Ward 2, Trà Vinh City, Trà Vinh Province, Vietnam -> 101 Hai Bà Trưng Street, Ward 2, Sóc Trăng City, Sóc Trăng Province, Vietnam -> 23 Trần Hưng Đạo Street, Ward 1, Rạch Giá City, Kiên Giang Province, Vietnam -> 14 Điện Biên Phủ Street, Ward 1, Vị Thanh City, Hậu Giang Province, Vietnam -> 88 Nguyễn Huệ Street, Tân Phú Ward, Đồng Xoài City, Bình Phước Province, Vietnam -> 7 Nguyễn Văn Trỗi Street, Ward 5, Long Xuyên City, An Giang Province, Vietnam -> 15 Hùng Vương Street, Ward 2, Bạc Liêu City, Bạc Liêu Province, Vietnam -> 33 Lê Duẩn Street, Ward 5, Tân An City, Long An Province, Vietnam -> 31 Lê Duẩn Street, Ward 1, Sóc Trăng City, Sóc Trăng Province, Vietnam -> 100 Nguyễn Thái Học Street, Tân An Ward, Ninh Kiều District, Cần Thơ City, Vietnam -> 44 Nguyễn Tất Thành Street, Phú Thủy Ward, Phan Thiết City, Bình Thuận Province, Vietnam -> 61 Phan Bội Châu Street, Ward 3, Rạch Giá City, Kiên Giang Province, Vietnam","https://www.google.com/maps/dir/?api=1&origin=10.2509284,105.978708&destination=10.2509284,105.978708&waypoints=10.24814972360808,105.9391854507987|10.247025916127395,105.93858474386575|10.246310335473204,105.93858434280287|10.347062527288568,105.49148062625179|10.357721984471517,105.5140131222994|10.455934299048067,105.34307392794999|10.463966714458348,104.93084288031928|10.417801043153785,104.91013016364934|10.47004914442764,104.6631183363734|10.82737636138809,105.23869560143056|10.86180976238981,105.26647295545288|10.807509246133177,105.34981715486578|10.871983579869967,105.46388175578417|10.896671511928368,105.52822620598752|10.95203666271689,105.69737678855225|10.845343830513903,105.84877506817693|10.681360039330668,106.04864823996134"
